Goal, Abducts 1, Abducts 2, Abducts 3, Abducts 4, Abducts 5, Abducts 6, Abducts 7, Abducts 8, Abducts 9, Abducts 10, Abducts 11, Abducts 12 
,,,,,,,,,,,,,
  n < m -> Z.succ n < Z.succ m,n = (Z.succ n) && m = n - m && m = (Z.succ 1) && m = (Z.succ m) | n = (Z.succ n) && m <= 0 - n && m = (Z.succ 1) && m = 0 + 1,,,1 = (Z.succ m) - (Z.succ n) | 1 <= (Z.succ m) - (Z.succ n),(Z.succ m) = -1 && (Z.succ n) = n && -2 + m = n && n + m = n | (Z.succ -2) = m && (Z.succ -3) = -1 && (Z.succ m) = m && (Z.succ n) = n && n + m = n,,,(Z.succ n) <= (Z.succ m) + -2 | (Z.succ m) + -1 = (Z.succ n),(Z.succ m) = -1 && (Z.succ n) = n && -2 + m = n && n + m = n | (Z.succ -2) = m && (Z.succ -3) = -1 && (Z.succ m) = m && (Z.succ n) = n && n + m = n,,,(Z.succ n) <= (Z.succ m) + -2 | (Z.succ m) + -1 = (Z.succ n),
  m > n -> Z.succ m > Z.succ n,m = (Z.succ m) && n = (Z.succ n) && n = 0 + 1 | m <= (Z.succ m) && n = (Z.succ n) && n = 0 + 1,,,,,,,(Z.succ m) + -1 = (Z.succ n) | (Z.succ n) <= (Z.succ m) + -1,(Z.succ n) = -1 && (Z.succ m) = m && m <= n + n | (Z.succ -3) = -1 && (Z.succ n) = n && (Z.succ m) = -1 && (Z.succ -2) = m && m = -1,,,(Z.succ m) + -1 = (Z.succ n) | (Z.succ n) <= (Z.succ m) + -1,
  Z.succ m > Z.succ n -> m > n,,,m = 1 && n <= m | n <= m,,,,,,,,,,
  Z.succ m <= Z.succ n -> m <= n,,,m = n | m <= n,,,,,,,,,,
  Z.succ n < Z.succ m -> n < m,n <= m | (Z.succ 1) = 0 && (Z.succ m) = 0 && (Z.succ 0) = m && n + m = 0 && n - 0 <= 1,,,,,,,,,,,,
  Z.succ n > n,n = 0 - 1 && 0 = (Z.succ n) | n = -2 && 0 = (Z.succ n),,,,,,,,,,,,
  ~ Z.succ n <= n,n = 0 - 1 && 0 = (Z.succ n) | n = -2 && 0 = (Z.succ n),,,,,,,,,,,,
  m > n -> Z.succ n <= m,n = (Z.succ n) && 1 = m | n = (Z.succ n) && n = 2,n = (Z.succ n) | m = (Z.succ n),n = (Z.succ n) && n = 0 | n = (Z.succ n) && n = 1,n = (Z.succ n) | m = (Z.succ n),n + n = m && (Z.succ n) = m | (Z.succ n) = -1 && (Z.succ -2) = m && -1 = n,(Z.succ n) = n | (Z.succ n) = m,(Z.succ n) = -1 && -1 = m | (Z.succ -2) = -1 && (Z.succ n) = -1 && -1 <= m,(Z.succ n) <= n | (Z.succ n) <= m,n + n = m && (Z.succ n) = m | (Z.succ n) = -1 && (Z.succ -2) = m && -1 = n,(Z.succ n) = n | (Z.succ n) = m,(Z.succ n) = -1 && -1 = m | (Z.succ -2) = -1 && (Z.succ n) = -1 && -1 <= m,(Z.succ n) <= n | (Z.succ n) <= m,
  n <= m -> n < Z.succ m,m = (Z.succ m) && m = 2 && n <= 1 | m <= (Z.succ m) && m = 2 && 1 = n,m = (Z.succ m) - 1 | m <= (Z.succ m) - 1,m = (Z.succ m) && n <= 0 && m = 1 | m = (Z.succ 0) && m = (Z.succ m) && m = 3 && n = 1,m = (Z.succ m) - 1 | m <= (Z.succ m) - 1,-2 + m = n && m <= -1 && (Z.succ m) = -1 | m + m = n && -1 = m && (Z.succ m) = -1,m <= (Z.succ m) + -2 | n <= (Z.succ m) + -2,(Z.succ -2) = -1 && (not m = n) && m = -1 && (Z.succ m) = -1 | (Z.succ -2) = -1 && (not m = n) && m <= -1 && (Z.succ m) = -1,m <= (Z.succ m) + -1 | n <= (Z.succ m) + -1,-2 + m = n && m <= -1 && (Z.succ m) = -1 | m + m = n && -1 = m && (Z.succ m) = -1,m <= (Z.succ m) + -2 | n <= (Z.succ m) + -2,(Z.succ -2) = -1 && (not m = n) && m = -1 && (Z.succ m) = -1 | (Z.succ -2) = -1 && (not m = n) && m <= -1 && (Z.succ m) = -1,m <= (Z.succ m) + -1 | n <= (Z.succ m) + -1,
  n < m -> Z.succ n <= m,0 = n && m = (Z.succ n) | 1 = n && m = (Z.succ n),m = (Z.succ n) | n = (Z.succ n),m = (Z.succ n) | m = (Z.succ 0) && 0 <= n && m = 1,m = (Z.succ n) | n = (Z.succ n),(Z.succ n) = n && -2 + m = n | m + m = n && (Z.succ n) = n,(Z.succ n) = n | (Z.succ n) = m,(Z.succ n) = -1 && (Z.succ -2) = -1 && (Z.succ m) = -1 && m = -1 | (Z.succ n) = -1 && (Z.succ m) = -1 && -1 <= m,(Z.succ n) = n | (Z.succ n) = m,(Z.succ n) = n && -2 + m = n | m + m = n && (Z.succ n) = n,(Z.succ n) = n | (Z.succ n) = m,(Z.succ n) = -1 && (Z.succ -2) = -1 && (Z.succ m) = -1 && m = -1 | (Z.succ n) = -1 && (Z.succ m) = -1 && -1 <= m,(Z.succ n) = n | (Z.succ n) = m,
