Option, # goals, # get-abd successes, # get-abd success %, # smt successes, #smt sucess %, # non-bool equality failures, # abd reconstructr failures, # atom unexp type failures, # non-linear failures,,,,
,,0 <= (Z.succ n) && n = 0 - 1,,1 = (Z.succ n) && n <= 1 && 0 = (Z.succ 1),,n + n <= n + -2 && (Z.succ n) = -1,,n <= (Z.succ n) && (not (Z.succ n) = n) && (Z.succ -2) = n && n = -1,,n + n <= n + -2 && (Z.succ n) = -1,,n <= (Z.succ n) && (not (Z.succ n) = n) && (Z.succ -2) = n && n = -1,
29,  ~ Z.succ n <= n,n = 0 - 1 && 0 = (Z.succ n),,n = -1 && 0 = (Z.succ n),,5 + n + n <= -1 && -1 <= (Z.succ n),,n <= (Z.succ n) && (not n = -1) && (Z.succ n) = -1,,5 + n + n <= -1 && -1 <= (Z.succ n),,n <= (Z.succ n) && (not n = -1) && (Z.succ n) = -1,
,,n = -2 && 0 = (Z.succ n),,1 <= (Z.succ n) && n = -1,,n + n <= (Z.succ n) && -2 + n = -1,,n + 3 <= -1 && -1 <= (Z.succ n),,n + n <= (Z.succ n) && -2 + n = -1,,n + 3 <= -1 && -1 <= (Z.succ n),
,,0 <= (Z.succ n) && n = 0 - 1,,1 = (Z.succ n) && n <= 1 && 0 = (Z.succ 1),,n + n <= n + -2 && (Z.succ n) = -1,,n <= (Z.succ n) && (not (Z.succ n) = n) && (Z.succ -2) = n && n = -1,,n + n <= n + -2 && (Z.succ n) = -1,,n <= (Z.succ n) && (not (Z.succ n) = n) && (Z.succ -2) = n && n = -1,
30,  m > n -> Z.succ n <= m,n = (Z.succ n) && 1 = m,n = (Z.succ n),n = (Z.succ n) && n = 0,n = (Z.succ n),n + n = m && (Z.succ n) = m,(Z.succ n) = n,(Z.succ n) = -1 && -1 = m,(Z.succ n) <= n,n + n = m && (Z.succ n) = m,(Z.succ n) = n,(Z.succ n) = -1 && -1 = m,(Z.succ n) <= n
,,n = (Z.succ n) && n = 2,m = (Z.succ n),n = (Z.succ n) && n = 1,m = (Z.succ n),(Z.succ n) = -1 && (Z.succ -2) = m && -1 = n,(Z.succ n) = m,(Z.succ -2) = -1 && (Z.succ n) = -1 && -1 <= m,(Z.succ n) <= m,(Z.succ n) = -1 && (Z.succ -2) = m && -1 = n,(Z.succ n) = m,(Z.succ -2) = -1 && (Z.succ n) = -1 && -1 <= m,(Z.succ n) <= m
,,n = (Z.succ m) && n = (Z.succ n) && 0 = n,(Z.succ n) <= n,n = (Z.succ m) && n = (Z.succ n) && n <= -2 && 0 <= m,(Z.succ n) <= n,(Z.succ m) = -1 && (Z.succ n) = -1 && (Z.succ m) = m,(Z.succ n) <= m,m + n = -1 && (Z.succ n) = -1,(Z.succ n) + -2 = n + -1,(Z.succ m) = -1 && (Z.succ n) = -1 && (Z.succ m) = m,(Z.succ n) <= m,m + n = -1 && (Z.succ n) = -1,(Z.succ n) + -2 = n + -1
31,  n <= m -> n < Z.succ m,m = (Z.succ m) && m = 2 && n <= 1,m = (Z.succ m) - 1,m = (Z.succ m) && n <= 0 && m = 1,m = (Z.succ m) - 1,-2 + m = n && m <= -1 && (Z.succ m) = -1,m <= (Z.succ m) + -2,(Z.succ -2) = -1 && (not m = n) && m = -1 && (Z.succ m) = -1,m <= (Z.succ m) + -1,-2 + m = n && m <= -1 && (Z.succ m) = -1,m <= (Z.succ m) + -2,(Z.succ -2) = -1 && (not m = n) && m = -1 && (Z.succ m) = -1,m <= (Z.succ m) + -1
,,m <= (Z.succ m) && m = 2 && 1 = n,m <= (Z.succ m) - 1,m = (Z.succ 0) && m = (Z.succ m) && m = 3 && n = 1,m <= (Z.succ m) - 1,m + m = n && -1 = m && (Z.succ m) = -1,n <= (Z.succ m) + -2,(Z.succ -2) = -1 && (not m = n) && m <= -1 && (Z.succ m) = -1,n <= (Z.succ m) + -1,m + m = n && -1 = m && (Z.succ m) = -1,n <= (Z.succ m) + -2,(Z.succ -2) = -1 && (not m = n) && m <= -1 && (Z.succ m) = -1,n <= (Z.succ m) + -1
,,m = (Z.succ m) && m = 1 && m = m + n,n = (Z.succ m) - 1,m <= (Z.succ m) && m = 2 && n = 1,n = (Z.succ m) - 1,-2 + m = n && (Z.succ m) = -1 && n + m = n,(Z.succ m) + -1 = n,(not m = n) && m = -1 && (Z.succ m) = -1,(Z.succ m) + -1 + n = m + m,-2 + m = n && (Z.succ m) = -1 && n + m = n,(Z.succ m) + -1 = n,(not m = n) && m = -1 && (Z.succ m) = -1,(Z.succ m) + -1 + n = m + m
32,  n < m -> Z.succ n <= m,0 = n && m = (Z.succ n),m = (Z.succ n),m = (Z.succ n),m = (Z.succ n),(Z.succ n) = n && -2 + m = n,(Z.succ n) = n,(Z.succ n) = -1 && (Z.succ -2) = -1 && (Z.succ m) = -1 && m = -1,(Z.succ n) = n,(Z.succ n) = n && -2 + m = n,(Z.succ n) = n,(Z.succ n) = -1 && (Z.succ -2) = -1 && (Z.succ m) = -1 && m = -1,(Z.succ n) = n
,,1 = n && m = (Z.succ n),n = (Z.succ n),m = (Z.succ 0) && 0 <= n && m = 1,n = (Z.succ n),m + m = n && (Z.succ n) = n,(Z.succ n) = m,(Z.succ n) = -1 && (Z.succ m) = -1 && -1 <= m,(Z.succ n) = m,m + m = n && (Z.succ n) = n,(Z.succ n) = m,(Z.succ n) = -1 && (Z.succ m) = -1 && -1 <= m,(Z.succ n) = m
,,m = (Z.succ n),(Z.succ n) <= m,m = 1 - n && m = (Z.succ 0) && m <= 1,(Z.succ n) <= m,(Z.succ n) = -1 && (Z.succ n) = n,(Z.succ n) <= m,m + n = -1 && m + -2 = -1 && (Z.succ -2) = -1,(Z.succ n) <= m,(Z.succ n) = -1 && (Z.succ n) = n,(Z.succ n) <= m,m + n = -1 && m + -2 = -1 && (Z.succ -2) = -1,(Z.succ n) <= m
33,  Z.succ m > n -> n <= m,,n = m,n = m,n = m,n <= m,n <= m,-1 <= m && n <= -1,m = n,n <= m,n <= m,-1 <= m && n <= -1,m = n
,,,n <= m,n <= m,n <= m,(Z.succ m) <= -1 && m + n = n,(Z.succ m) = m,n <= m + m && n <= (Z.succ 3) && (Z.succ 3) = -1,n <= m,(Z.succ m) <= -1 && m + n = n,(Z.succ m) = m,n <= m + m && n <= (Z.succ 3) && (Z.succ 3) = -1,n <= m
,,,m = (Z.succ m),m = (Z.succ m),m = (Z.succ m),(Z.succ n) = m && (Z.succ n) = -1 && (Z.succ m) <= m,(Z.succ m) <= m,n <= m,(Z.succ m) = m,(Z.succ n) = m && (Z.succ n) = -1 && (Z.succ m) <= m,(Z.succ m) <= m,n <= m,(Z.succ m) = m
34,  n < Z.succ m -> n <= m,,n = m,n = m,n = m,m = n,n <= m,n <= m,n <= m,m = n,n <= m,n <= m,n <= m
,,,n <= m,n <= m,n <= m,n = -2 && -1 = m,(Z.succ m) <= m,(Z.succ m) + -2 = -1 && (Z.succ n) = m && 3 - n = m,(Z.succ m) = m,n = -2 && -1 = m,(Z.succ m) <= m,(Z.succ m) + -2 = -1 && (Z.succ n) = m && 3 - n = m,(Z.succ m) = m
,,,m = (Z.succ m),m = (Z.succ m),m = (Z.succ m),n <= m + -3,(Z.succ m) + -1 = m,(Z.succ m) + -1 <= m,(Z.succ m) <= m,n <= m + -3,(Z.succ m) + -1 = m,(Z.succ m) + -1 <= m,(Z.succ m) <= m
35,  Z.succ n <= m -> m > n,m = 1 && n = 0,m = n + 1,m = 1 && n = 0,m = n + 1,n <= m + m && -1 = m,m + -1 = n,(not m = n) && n <= m,n <= -2 + m,n <= m + m && -1 = m,m + -1 = n,(not m = n) && n <= m,n <= -2 + m
